#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Pseudalatia unipuncta granulovirus	36355	PRJNA43731	43731	dsDNA viruses, no RNA stage	Baculoviridae	176.677	39.8	invertebrates	 Unknown:NC_013772.1/EU678671.1	183	183	2008/10/31	2010/02/01	Complete Genome
Porcine circovirus type 1/2a	720569	PRJNA45807	45807	ssDNA viruses	Circoviridae	1.767	49.1	vertebrates	 Unknown:NC_013774.1/FJ655418.1	2	2	2009/12/31	2011/02/03	Complete Genome
California sea lion polyomavirus 1	715223	PRJNA45909	45909	dsDNA viruses, no RNA stage	Polyomaviridae	5.112	42.7	vertebrates	 Unknown:NC_013796.1/GQ331138.1	6	6	2010/02/07	2013/04/09	Complete Genome
Tobacco leaf curl betasatellite-[Pakistan:Multan:Pedilanthus:2004]	587314		0	Satellites	Tolecusatellitidae	1.358	18.25	plants	AM260465.1	1	1	2009/01/10	2009/02/27	Complete Genome
Croton yellow vein mosaic alphasatellite	713089	PRJNA45931	45931	Satellites	Alphasatellitidae	1.347	40	plants	 Unknown:NC_013801.1/FN658711.1	1	1	2010/02/08	2012/07/20	Complete Genome
Cotton leaf curl Burewala betasatellite	713092	PRJNA45933	45933	Satellites	Tolecusatellitidae	1.354	40.5	plants	 Unknown:NC_013802.1/FN658722.1	1	1	2010/02/08	2012/07/20	Complete Genome
Cotton leaf curl Burewala alphasatellite	713091	PRJNA45935	45935	Satellites	Alphasatellitidae	1.366	42.3	plants	 Unknown:NC_013803.1/FN658727.1	1	1	2010/02/08	2012/07/20	Complete Genome
Pseudocowpox virus	129726	PRJNA45973	45973	dsDNA viruses, no RNA stage	Poxviridae	145.289	65	vertebrates	 Unknown:NC_013804.1/GQ329670.1	134	134	2010/02/16	2011/03/09	Complete Genome
Olive latent virus 3	626962	PRJNA46223	46223	ssRNA viruses	Tymoviridae	7.148	56.2	invertebrates, plants	 Unknown:NC_013920.1/FJ444852.2	4	4	2009/06/01	2010/08/10	Complete Genome
Mycobacterium virus Ardmore	685506	PRJNA46607	46607	dsDNA viruses, no RNA stage	Siphoviridae	52.141	61.5	bacteria	 Unknown:NC_013936.1/GU060500.1	87	87	2010/03/14	2010/03/16	Complete Genome
Phlebiopsis gigantea mycovirus dsRNA 1	349681	PRJNA46855	46855	dsRNA viruses	Totiviridae	11.563	57	protozoa	 Unknown:NC_013999.1/AM111096.3	1	2	2007/10/11	2011/10/26	Complete Genome
Klebsiella phage KP15	707757	PRJNA47333	47333	dsDNA viruses, no RNA stage	Myoviridae	174.436	41.8	bacteria	 Unknown:NC_014036.1/GU295964.1	257	258	2010/04/05	2016/09/27	Complete Genome
Sulfitobacter phage pCB2047-C	754043	PRJNA47511	47511	dsDNA viruses, no RNA stage	unclassified	40.931	59	bacteria	 Unknown:NC_020856.2/HQ317384.2	73	73	2013/03/16	2014/07/08	Complete Genome
Sulfitobacter phage pCB2047-A	754045	PRJNA47513	47513	dsDNA viruses, no RNA stage	unclassified	40.929	58.8	bacteria	 Unknown:NC_020858.2/HQ332142.2	72	72	2013/03/24	2014/07/08	Complete Genome
Sulfitobacter phage phiCB2047-B	754046	PRJNA47515	47515	dsDNA viruses, no RNA stage	Podoviridae	74.485	43	bacteria	 Unknown:NC_020862.2/HQ317387.2	92	75	2013/03/17	2014/08/06	Complete Genome
Psychrobacter phage pOW20-A	754048	PRJNA47519	47519	dsDNA viruses, no RNA stage	Myoviridae	40.803	44.1	bacteria	 Unknown:NC_020841.1/JF974295.1	71	71	2013/03/25	2013/03/30	Complete Genome
Loktanella phage pCB2051-A	754044	PRJNA47541	47541	dsDNA viruses, no RNA stage	unclassified	56.958	55	bacteria	 Unknown:NC_020853.1/HQ632859.1	77	76	2013/03/24	2013/03/30	Complete Genome
Vibrio phage pYD21-A	754049	PRJNA47543	47543	dsDNA viruses, no RNA stage	Siphoviridae	46.917	43.9	bacteria	 Unknown:NC_020846.1/JF974287.1	75	74	2013/03/19	2013/03/30	Complete Genome
Aeromonas phage pIS4-A	754050		0	dsDNA viruses, no RNA stage	Siphoviridae	47.624	47.3	bacteria	JF974294.1	80	78	2013/06/10	2013/06/10	Complete Genome
Vibrio phage pYD38-A	754051	PRJNA47547	47547	dsDNA viruses, no RNA stage	unclassified	47.552	47.3	bacteria	 Unknown:NC_021534.1/JF974312.1	80	77	2013/06/10	2013/07/07	Complete Genome
Pseudoalteromonas phage pYD6-A	754052	PRJNA47549	47549	dsDNA viruses, no RNA stage	Podoviridae	76.802	38.7	bacteria	 Unknown:NC_020849.1/JF974296.1	101	99	2013/03/25	2013/03/30	Complete Genome
Paenibacillus phage PG1	754053	PRJNA47551	47551	dsDNA viruses, no RNA stage	Siphoviridae	37.644	42.4	bacteria	 Unknown:NC_021558.1/HQ332138.1	70	67	2013/06/10	2013/07/07	Complete Genome
Rhizobium phage RR1-A	929833	PRJNA47553	47553	dsDNA viruses, no RNA stage	Myoviridae	53.102	57.2	bacteria	 Unknown:NC_021560.1/JF974314.1	69	68	2013/06/10	2013/07/14	Complete Genome
Rhodobacter phage RC1	754055	PRJNA47555	47555	dsDNA viruses, no RNA stage	Siphoviridae	39.573	62.3	bacteria	 Unknown:NC_020839.1/JF974308.1	56	56	2013/03/25	2013/03/30	Complete Genome
Rhodovulum phage RS1	754056	PRJNA47557	47557	dsDNA viruses, no RNA stage	Siphoviridae	40.231	62.1	bacteria	 Unknown:NC_020866.1/JF974307.1	57	56	2013/03/25	2013/03/30	Complete Genome
Vibrio phage PWH3a-P1	754058	PRJNA47561	47561	dsDNA viruses, no RNA stage	unclassified	129.155	35.5	bacteria	 Unknown:NC_020863.1/HQ634156.1	210	209	2013/03/24	2013/03/30	Complete Genome
Synechococcus phage S-CBP4	754059	PRJNA266792	266792	dsDNA viruses, no RNA stage	Podoviridae	44.147	44.4	bacteria	 Unknown:NC_025464.1/KC310804.1	49	46	2014/10/24	2015/12/03	Complete Genome
Synechococcus phage S-CBP42	461711	PRJNA307875	307875	dsDNA viruses, no RNA stage	Podoviridae	45.218	54.6	bacteria	 Unknown:NC_029031.1/KC310805.1	57	51	2014/10/24	2016/01/05	Complete Genome
Micromonas pusilla virus 12T	755272	PRJNA47583	47583	dsDNA viruses, no RNA stage	unclassified	205.622	39.8	algae	 Unknown:NC_020864.1/HQ632826.1	265	253	2013/03/24	2013/03/30	Complete Genome
Ostreococcus lucimarinus virus OlV5	754064	PRJNA47611	47611	dsDNA viruses, no RNA stage	unclassified	186.468	41.6	algae	 Unknown:NC_020852.1/HQ632827.1	263	251	2013/03/24	2013/03/30	Complete Genome
Synechococcus phage S-CAM1	754037	PRJNA47615	47615	dsDNA viruses, no RNA stage	Myoviridae	198.013	43	bacteria	 Unknown:NC_020837.1/HQ634177.1	241	231	2013/03/23	2013/03/30	Complete Genome
Cellulophaga phage phi47:1	756281		0	dsDNA viruses, no RNA stage	Myoviridae	54.016	33.5	bacteria	KC821634.1	80	80	2013/06/29	2015/12/31	Complete Genome
Sunflower chlorotic mottle virus	129732	PRJNA47931	47931	ssRNA viruses	Potyviridae	9.965	40.7	plants	 Unknown:NC_014038.1/GU181199.1	2	2	2010/04/20	2015/02/10	Complete Genome
Okra yellow mosaic Mexico virus	327280	PRJNA48103	48103	ssDNA viruses	Geminiviridae	5.194	46.2046	plants	 DNA A:NC_014066.1/DQ022611.1;  DNA B:NC_014067.1/GU972604.1	7	7	2005/05/10	2010/05/12	Complete Genome
Torque teno mini virus 8	687376	PRJNA48135	48135	ssDNA viruses	Anelloviridae	2.91	37.8	vertebrates, human	 Unknown:NC_014068.1/AF291073.1	2	2	2001/10/05	2010/04/29	Complete Genome
Torque teno virus 4	687343	PRJNA48137	48137	ssDNA viruses	Anelloviridae	3.69	53.6	vertebrates, human	 Unknown:NC_014069.1/AB041957.1	2	2	2000/12/14	2010/04/29	Complete Genome
Torque teno sus virus 1a	687386	PRJNA48139	48139	ssDNA viruses	Anelloviridae	2.878	51.6	vertebrates, human	 Unknown:NC_014070.1/AB076001.1	3	3	2002/04/18	2015/05/12	Complete Genome
Torque teno canis virus	687385	PRJNA48141	48141	ssDNA viruses	Anelloviridae	2.797	54.6	vertebrates, human	 Unknown:NC_014071.1/AB076002.1	3	3	2002/04/18	2010/04/29	Complete Genome
Torque teno felis virus	687384	PRJNA48143	48143	ssDNA viruses	Anelloviridae	2.064	54	vertebrates, human	 Unknown:NC_014072.1/AB076003.1	3	3	2002/04/18	2016/08/01	Complete Genome
Torque teno virus 28	687367	PRJNA48145	48145	ssDNA viruses	Anelloviridae	3.629	51.7	vertebrates, human	 Unknown:NC_014073.1/AB064598.1	4	4	2001/12/15	2010/04/29	Complete Genome
Torque teno virus 27	687366	PRJNA48147	48147	ssDNA viruses	Anelloviridae	3.729	53.4	vertebrates, human	 Unknown:NC_014074.1/AB064595.1	4	4	2001/12/15	2010/04/29	Complete Genome
Torque teno virus 12	687351	PRJNA48149	48149	ssDNA viruses	Anelloviridae	3.759	50.8	vertebrates, human	 Unknown:NC_014075.1/AB064605.1	4	4	2001/12/15	2010/04/29	Complete Genome
Torque teno virus 10	687349	PRJNA48151	48151	ssDNA viruses	Anelloviridae	3.77	51.2	vertebrates, human	 Unknown:NC_014076.1/AB064607.1	4	4	2001/12/15	2010/04/29	Complete Genome
Torque teno virus 14	687353	PRJNA48153	48153	ssDNA viruses	Anelloviridae	3.899	56.2	vertebrates, human	 Unknown:NC_014077.1/AB037926.1	2	2	2000/12/06	2010/04/29	Complete Genome
Torque teno virus 19	687358	PRJNA48155	48155	ssDNA viruses	Anelloviridae	3.808	53.8	vertebrates, human	 Unknown:NC_014078.1/AB025946.2	2	2	1999/07/03	2010/04/29	Complete Genome
Torque teno virus 26	687365	PRJNA48157	48157	ssDNA viruses	Anelloviridae	3.798	56.9	vertebrates, human	 Unknown:NC_014079.1/AB041958.2	3	3	2000/12/14	2010/04/29	Complete Genome
Torque teno virus 7	687346	PRJNA48159	48159	ssDNA viruses	Anelloviridae	3.736	48.4	vertebrates, human	 Unknown:NC_014080.1/AF261761.1	3	3	2000/07/12	2010/04/29	Complete Genome
Torque teno virus 3	687342	PRJNA48161	48161	ssDNA viruses	Anelloviridae	3.748	51.4	vertebrates, human	 Unknown:NC_014081.1/AY666122.2	6	6	2004/08/25	2010/04/29	Complete Genome
Torque teno mini virus 7	687375	PRJNA48163	48163	ssDNA viruses	Anelloviridae	2.952	36.2	vertebrates, human	 Unknown:NC_014082.1/AB038627.1	2	2	2000/04/04	2010/04/29	Complete Genome
Torque teno virus 25	687364	PRJNA48165	48165	ssDNA viruses	Anelloviridae	3.763	53.8	vertebrates, human	 Unknown:NC_014083.1/AB041959.1	3	3	2000/12/14	2010/04/29	Complete Genome
Torque teno virus 8	687347	PRJNA48167	48167	ssDNA viruses	Anelloviridae	3.79	50.9	vertebrates, human	 Unknown:NC_014084.1/AB054647.1	4	4	2001/07/03	2010/04/29	Complete Genome
Torque teno tamarin virus	687382	PRJNA48169	48169	ssDNA viruses	Anelloviridae	3.371	52.8	vertebrates, human	 Unknown:NC_014085.1/AB041960.1	4	4	2000/12/14	2010/04/29	Complete Genome
Torque teno mini virus 2	687370	PRJNA48171	48171	ssDNA viruses	Anelloviridae	2.765	39.4	vertebrates, human	 Unknown:NC_014086.1/AB038629.1	3	3	2000/04/04	2010/04/29	Complete Genome
Torque teno douroucouli virus	687383	PRJNA48173	48173	ssDNA viruses	Anelloviridae	3.718	60.3	vertebrates, human	 Unknown:NC_014087.1/AB041961.1	3	3	2000/12/14	2010/04/29	Complete Genome
Torque teno mini virus 3	687371	PRJNA48175	48175	ssDNA viruses	Anelloviridae	2.897	38	vertebrates, human	 Unknown:NC_014088.1/AB038630.1	3	3	2000/04/04	2010/04/30	Complete Genome
Torque teno mini virus 5	687373	PRJNA48177	48177	ssDNA viruses	Anelloviridae	2.908	37.1	vertebrates, human	 Unknown:NC_014089.1/AB041962.1	3	3	2000/12/14	2010/04/30	Complete Genome
Torque teno mini virus 4	687372	PRJNA48179	48179	ssDNA viruses	Anelloviridae	2.785	39.9	vertebrates, human	 Unknown:NC_014090.1/AB041963.1	2	2	2000/12/14	2010/04/30	Complete Genome
Torque teno virus 16	687355	PRJNA48181	48181	ssDNA viruses	Anelloviridae	3.818	51.1	vertebrates, human	 Unknown:NC_014091.1/AB017613.1	2	2	1999/07/14	2010/04/30	Complete Genome
Torque teno midi virus 2	687380	PRJNA48185	48185	ssDNA viruses	Anelloviridae	3.253	42.9	vertebrates, human	 Unknown:NC_014093.1/AB290919.1	4	4	2007/03/23	2010/04/30	Complete Genome
Torque teno virus 6	687345	PRJNA48187	48187	ssDNA viruses	Anelloviridae	3.705	50	vertebrates, human	 Unknown:NC_014094.1/AF435014.1	4	4	2001/11/07	2010/04/30	Complete Genome
Torque teno mini virus 6	687374	PRJNA48189	48189	ssDNA viruses	Anelloviridae	2.897	37.4	vertebrates, human	 Unknown:NC_014095.1/AB026929.1	3	3	1999/11/23	2010/04/30	Complete Genome
Torque teno virus 15	687354	PRJNA48191	48191	ssDNA viruses	Anelloviridae	3.787	51.1	vertebrates, human	 Unknown:NC_014096.1/AB028668.1	2	2	2000/04/27	2010/04/30	Complete Genome
Torque teno mini virus 1	687369	PRJNA48193	48193	ssDNA viruses	Anelloviridae	2.856	38.2	vertebrates, human	 Unknown:NC_014097.1/AB026931.1	3	3	1999/11/23	2010/04/30	Complete Genome
Sulfolobus turreted icosahedral virus 2	754004	PRJNA48299	48299	dsDNA viruses, no RNA stage	Turriviridae	16.622	36.7	archaea	 Unknown:NC_014099.1/GU080336.1	34	34	2010/04/18	2010/04/30	Complete Genome
Torque teno sus virus 1b	687387	PRJNA283618	283618	ssDNA viruses	Anelloviridae	2.872	50.5	vertebrates, human	 Unknown:NC_027059.1/AY823990.1	3	3	2005/02/09	2015/05/14	Chromosome
Freesia mosaic virus	421012	PRJNA48387	48387	ssRNA viruses	Potyviridae	9.489	42.9	plants	 Unknown:NC_014064.1/FM206346.1	2	2	2010/01/07	2015/02/10	Complete Genome
Providence virus	213633	PRJNA48417	48417	ssRNA viruses	Carmotetraviridae	6.155	51.8	invertebrates	 Unknown:NC_014126.1/GU991616.1	5	4	2010/05/04	2010/10/19	Complete Genome
Chiltepin yellow mosaic virus	688701	PRJNA48419	48419	ssRNA viruses	Tymoviridae	6.517	48.9	invertebrates, plants	 Unknown:NC_014127.1/FN563123.1	3	3	2010/05/03	2011/02/05	Complete Genome
Sida golden mottle virus	759390	PRJNA48421	48421	ssDNA viruses	Geminiviridae	5.184	44.7628	plants	 DNA-A:NC_014130.1/GU997691.1;  DNA-B:NC_014128.1/GU997692.1	7	7	2010/05/02	2015/10/20	Complete Genome
Slow bee paralysis virus	458132	PRJNA48587	48587	ssRNA viruses	Iflaviridae	9.505	37.5	invertebrates	 Unknown:NC_014137.1/EU035616.1	1	1	2007/08/08	2010/09/20	Complete Genome
Abutilon Brazil virus	665102	PRJNA48591	48591	ssDNA viruses	Geminiviridae	5.271	46.4576	plants	 DNA A:NC_014138.1/FN434438.1;  DNA B:NC_014139.1/FN434439.1	7	7	2010/05/09	2015/03/17	Complete Genome
Soybean mild mottle virus	761701	PRJNA48593	48593	ssDNA viruses	Geminiviridae	2.768	44.7	plants	 Unknown:NC_014140.1/GQ472984.1	6	6	2010/05/10	2010/05/13	Complete Genome
Soybean chlorotic blotch virus	761702	PRJNA48595	48595	ssDNA viruses	Geminiviridae	5.355	44.4722	plants	 DNA A:NC_014141.1/GQ472985.1;  DNA B:NC_014142.1/GQ472986.1	9	9	2010/05/10	2010/05/13	Complete Genome
Bettongia penicillata papillomavirus 1	759701	PRJNA48601	48601	dsDNA viruses, no RNA stage	Papillomaviridae	7.737	44.2	vertebrates	 Unknown:NC_014143.1/GU220391.1	7	7	2010/05/08	2016/07/26	Complete Genome
Human papillomavirus type 121	915429	PRJNA49377	49377	dsDNA viruses, no RNA stage	Papillomaviridae	7.342	37.7	vertebrates	 Unknown:NC_014185.1/GQ845443.1	7	7	2010/05/26	2016/07/26	Complete Genome
Streptomyces phage phiSASD1	747763	PRJNA49613	49613	dsDNA viruses, no RNA stage	Siphoviridae	37.068	66.3	bacteria	 Unknown:NC_014229.1/GQ379227.1	43	43	2010/06/08	2010/06/09	Complete Genome
Broome virus	667093	PRJNA49651	49651	dsRNA viruses	Reoviridae	22.727	42.1395	vertebrates	 L1:NC_014236.1/GQ258977.1;  L2:NC_014237.1/GQ258978.1;  L3:NC_014238.1/GQ258979.1;  M1:NC_014239.1/GQ258980.1;  M2:NC_014240.1/GQ258981.1;  M3:NC_014241.1/GQ258982.1;  S1:NC_014242.1/GQ258983.1;  S2:NC_014243.1/GQ258984.1;  S3:NC_014244.1/GQ258985.1;  S4:NC_014245.1/GQ258986.1	11	11	2010/05/17	2010/06/11	Complete Genome
Panax virus Y	796352	PRJNA49715	49715	ssRNA viruses	Potyviridae	9.75	40.2	plants	 Unknown:NC_014252.1/GQ916624.1	2	2	2010/06/15	2015/02/10	Complete Genome
Enterobacteria phage IME08	697227	PRJNA50177	50177	dsDNA viruses, no RNA stage	Myoviridae	172.253	39.6	bacteria	 Unknown:NC_014260.1/HM071924.1	255	253	2010/06/15	2011/12/15	Complete Genome
Hyperthermophilic Archaeal Virus 2	762906	PRJNA50361	50361	unclassified archaeal viruses	unclassified	17.666	52.1	archaea	 Unknown:NC_014321.1/GU722197.1	15	15	2010/07/04	2010/11/19	Complete Genome
Hyperthermophilic Archaeal Virus 1	762905	PRJNA50363	50363	dsDNA viruses, no RNA stage	unclassified	22.743	46.2	archaea	 Unknown:NC_014322.1/GU722196.1	40	40	2010/07/04	2010/11/19	Complete Genome
Turnip curly top virus	859650	PRJNA50429	50429	ssDNA viruses	Geminiviridae	2.981	42	plants	 Unknown:NC_014324.1/GU456685.1	6	6	2010/07/06	2010/09/08	Complete Genome
Bidens mottle virus	433357	PRJNA50559	50559	ssRNA viruses	Potyviridae	9.741	41.7	plants	 Unknown:NC_014325.1/AF538686.2	2	2	2003/02/05	2015/02/10	Complete Genome
Pepper yellow mosaic virus	160358	PRJNA50567	50567	ssRNA viruses	Potyviridae	9.745	42.4	plants	 Unknown:NC_014327.1/AB541985.1	1	1	2010/07/13	2013/08/10	Complete Genome
Fenneropenaeus chinensis hepandensovirus	797418	PRJNA51177	51177	ssDNA viruses	Parvoviridae	6.085	39.4	invertebrates	 Unknown:NC_014357.1/GU371276.1	3	3	2010/07/28	2010/08/05	Complete Genome
Bocavirus gorilla/GBoV1/2009	864686	PRJNA51179	51179	ssDNA viruses	Parvoviridae	4.944	41.1	vertebrates	 Unknown:NC_014358.1/HM145750.1	4	4	2010/07/21	2010/08/19	Complete Genome
Spissistilus festinus virus 1	862943	PRJNA51181	51181	dsRNA viruses	unclassified	7.951	59	invertebrates	 Unknown:NC_014359.1/GU979419.1	2	2	2010/07/17	2016/07/26	Complete Genome
Circulifer tenellus virus 1	862944	PRJNA51183	51183	dsRNA viruses	unclassified	8.086	57.2	invertebrates	 Unknown:NC_014360.1/GU979420.1	2	2	2010/07/17	2016/07/26	Complete Genome
Trichodysplasia spinulosa-associated polyomavirus	862909	PRJNA51185	51185	dsDNA viruses, no RNA stage	Polyomaviridae	5.232	40.1	vertebrates	 Unknown:NC_014361.1/GU989205.1	4	5	2010/07/29	2010/08/05	Complete Genome
Bundibugyo ebolavirus	565995	PRJNA51245	51245	ssRNA viruses	Filoviridae	18.94	42	vertebrates, human	 Unknown:NC_014373.1/FJ217161.1	7	9	2008/11/21	2016/04/20	Complete Genome
Tai Forest ebolavirus	186541	PRJNA51257	51257	ssRNA viruses	Filoviridae	18.935	42.3	vertebrates, human	 Unknown:NC_014372.1/FJ217162.1	7	9	2008/11/21	2016/04/20	Complete Genome
Melon chlorotic mosaic virus-associated alphasatellite	870465	PRJNA51413	51413	Satellites	Alphasatellitidae	1.334	42.5	plants	 Unknown:NC_014379.1/HM163578.1	2	2	2010/08/09	2010/12/21	Complete Genome
Melon chlorotic mosaic virus	180399	PRJNA51415	51415	ssDNA viruses	Geminiviridae	5.235	42.9546	plants	 DNA-A:NC_014380.1/HM163576.1;  DNA-B:NC_014381.1/HM163577.1	7	7	2010/08/09	2015/10/20	Complete Genome
Human polyomavirus 7	746831	PRJNA51557	51557	dsDNA viruses, no RNA stage	Polyomaviridae	4.952	42.9	vertebrates	 Unknown:NC_014407.1/HM011566.1	5	5	2010/05/07	2015/01/23	Complete Genome
Human polyomavirus 6	746830	PRJNA51559	51559	dsDNA viruses, no RNA stage	Polyomaviridae	4.926	42.7	vertebrates	 Unknown:NC_014406.1/HM011560.1	5	5	2010/05/07	2015/01/23	Complete Genome
Passerivirus A1	871699	PRJNA51587	51587	ssRNA viruses	Picornaviridae	8.035	57.9	vertebrates	 Unknown:NC_014411.1/GU182406.1	1	1	2010/08/15	2010/09/21	Complete Genome
Oscivirus A1	871700	PRJNA51589	51589	ssRNA viruses	Picornaviridae	7.641	46.9	vertebrates	 Unknown:NC_014412.1/GU182408.1	1	1	2010/08/15	2010/09/21	Complete Genome
Oscivirus A2	871701	PRJNA51591	51591	ssRNA viruses	Picornaviridae	7.678	46.6	vertebrates	 Unknown:NC_014413.1/GU182410.1	1	1	2010/08/15	2010/09/21	Complete Genome
Clostridium phage phiCTP1	871584	PRJNA51665	51665	dsDNA viruses, no RNA stage	Siphoviridae	59.199	31.3	bacteria	 Unknown:NC_014457.1/HM159959.1	86	86	2010/08/15	2010/08/20	Complete Genome
Mycobacterium virus Angelica	861044	PRJNA51667	51667	dsDNA viruses, no RNA stage	Siphoviridae	59.598	66.4	bacteria	 Unknown:NC_014458.1/HM152764.1	95	94	2010/08/18	2011/08/11	Complete Genome
Mycobacterium virus Crimd	861045	PRJNA51669	51669	dsDNA viruses, no RNA stage	Siphoviridae	59.798	66.9	bacteria	 Unknown:NC_014459.1/HM152767.1	96	95	2010/08/18	2018/02/06	Complete Genome
Staphylococcus virus SAP26	872294	PRJNA51671	51671	dsDNA viruses, no RNA stage	Siphoviridae	41.207	34	bacteria	 Unknown:NC_014460.1/GU477322.1	63	63	2010/08/18	2010/08/25	Complete Genome
Mycobacterium virus Bron	861047	PRJNA51673	51673	dsDNA viruses, no RNA stage	Siphoviridae	73.453	58.8	bacteria	 Unknown:NC_014461.1/HM152763.1	132	123	2010/08/18	2018/02/06	Complete Genome
Magnaporthe oryzae chrysovirus 1	764348	PRJNA51685	51685	dsRNA viruses	Chrysoviridae	12.921	60.9664	fungi	 segment 1:NC_014462.1/AB560761.1;  segment 2:NC_014465.1/AB560762.1;  segment 3:NC_014463.1/AB560763.1;  segment 4:NC_014464.1/AB560764.1	4	4	2010/08/21	2010/11/20	Complete Genome
Escherichia virus RB16	329381	PRJNA51699	51699	dsDNA viruses, no RNA stage	Myoviridae	176.788	43.5	bacteria	 Unknown:NC_014467.1/HM134276.1	272	270	2010/07/05	2010/11/15	Complete Genome
Bat adeno-associated virus YNM	727962	PRJNA51735	51735	ssDNA viruses	Parvoviridae	4.286	62.9	vertebrates	 Unknown:NC_014468.1/GU226971.1	2	2	2010/08/23	2010/09/20	Complete Genome
Human papillomavirus type 127	746832	PRJNA51741	51741	dsDNA viruses, no RNA stage	Papillomaviridae	7.181	37	vertebrates	 Unknown:NC_014469.1/HM011570.1	7	7	2010/08/24	2010/08/25	Complete Genome
Bat coronavirus BM48-31/BGR/2008	864596	PRJNA51751	51751	ssRNA viruses	Coronaviridae	29.276	40.4	vertebrates	 Unknown:NC_014470.1/GU190215.1	9	9	2010/08/25	2010/10/08	Complete Genome
Croton yellow vein virus	671095	PRJNA51789	51789	ssDNA viruses	Geminiviridae	2.744	42.2	plants	 Unknown:NC_014473.1/FN543112.1	6	6	2010/08/26	2011/06/01	Complete Genome
Simian retrovirus 4	723802	PRJNA51791	51791	Other	Retroviridae	8.126	43.3	vertebrates	 Unknown:NC_014474.1/FJ971077.1	4	4	2010/08/23	2016/07/26	Complete Genome
Torque teno virus 2	687341	PRJNA51893	51893	ssDNA viruses	Anelloviridae	3.322	52.8	vertebrates, human	 Unknown:NC_014480.2/AB049608.1	2	2	2001/01/10	2015/02/10	Complete Genome
Rhododendron virus A	878260	PRJNA51905	51905	dsRNA viruses	Amalgaviridae	3.427	50.7	plants	 Unknown:NC_014481.1/HQ128706.1	2	2	2010/08/31	2010/11/15	Complete Genome
Tobacco leaf curl virus	67762	PRJNA319880	319880	ssDNA viruses	Geminiviridae	2.762	43.9	plants	 Unknown:NC_029994.1/KT992046.1	6	6	2016/04/20	2016/04/29	Complete Genome
Halorubrum phage CGphi46	754066	PRJNA47629	47629	dsDNA viruses, no RNA stage	unclassified	39.784	65.1	bacteria	 Unknown:NC_021537.1/HQ332141.1	55	55	2013/06/10	2013/07/07	Complete Genome
Salicola phage CGphi29	754067	PRJNA47631	47631	dsDNA viruses, no RNA stage	unclassified	40.695	56.4	bacteria	 Unknown:NC_020844.1/HQ634153.1	64	64	2013/03/24	2013/03/30	Complete Genome
Synechococcus phage S-RIP2	754040	PRJNA47635	47635	dsDNA viruses, no RNA stage	Podoviridae	45.728	47.3	bacteria	 Unknown:NC_020838.1/HQ317389.1	57	54	2013/03/16	2013/03/30	Complete Genome
Synechococcus phage S-RIP1	754041	PRJNA47637	47637	dsDNA viruses, no RNA stage	Podoviridae	44.892	42.9	bacteria	 Unknown:NC_020867.1/HQ317388.1	61	55	2013/03/16	2013/03/30	Complete Genome
Synechococcus phage S-IOM18	754039	PRJNA47645	47645	dsDNA viruses, no RNA stage	Myoviridae	171.797	40.6	bacteria	 Unknown:NC_021536.1/HQ317383.1	219	209	2013/06/10	2013/07/07	Complete Genome
Synechococcus phage S-SKS1	754042	PRJNA47647	47647	dsDNA viruses, no RNA stage	Siphoviridae	208.007	36	bacteria	 Unknown:NC_020851.1/HQ633071.1	302	281	2013/03/24	2013/03/30	Complete Genome
